phrase_id,phrase_text,verb,noun,context
1,break a crude bandage,break,bandage,interaction
2,smash a crude bandage,break,bandage,interaction
3,shatter a crude bandage,break,bandage,interaction
4,break rumpled bed sheets,break,bed-sheets,interaction
5,smash rumpled bed sheets,break,bed-sheets,interaction
6,shatter rumpled bed sheets,break,bed-sheets,interaction
7,break a large four-poster bed,break,bed,interaction
8,smash a large four-poster bed,break,bed,interaction
9,shatter a large four-poster bed,break,bed,interaction
10,break a heavy wool blanket,break,blanket,interaction
11,smash a heavy wool blanket,break,blanket,interaction
12,shatter a heavy wool blanket,break,blanket,interaction
13,break a small brass key,break,brass-key,interaction
14,smash a small brass key,break,brass-key,interaction
15,shatter a small brass key,break,brass-key,interaction
16,break a lit tallow candle,break,candle-lit,interaction
17,smash a lit tallow candle,break,candle-lit,interaction
18,shatter a lit tallow candle,break,candle-lit,interaction
19,break a tallow candle,break,candle,interaction
20,smash a tallow candle,break,candle,interaction
21,shatter a tallow candle,break,candle,interaction
22,break a ceramic chamber pot,break,chamber-pot,interaction
23,smash a ceramic chamber pot,break,chamber-pot,interaction
24,shatter a ceramic chamber pot,break,chamber-pot,interaction
25,break a piece of cloth,break,cloth,interaction
26,smash a piece of cloth,break,cloth,interaction
27,shatter a piece of cloth,break,cloth,interaction
28,break heavy velvet curtains (open),break,curtains-open,interaction
29,smash heavy velvet curtains (open),break,curtains-open,interaction
30,shatter heavy velvet curtains (open),break,curtains-open,interaction
31,break heavy velvet curtains,break,curtains,interaction
32,smash heavy velvet curtains,break,curtains,interaction
33,shatter heavy velvet curtains,break,curtains,interaction
34,break a glass shard,break,glass-shard,interaction
35,smash a glass shard,break,glass-shard,interaction
36,shatter a glass shard,break,glass-shard,interaction
37,break a small knife,break,knife,interaction
38,smash a small knife,break,knife,interaction
39,shatter a small knife,break,knife,interaction
40,break a lit match,break,match-lit,interaction
41,smash a lit match,break,match-lit,interaction
42,shatter a lit match,break,match-lit,interaction
43,break a wooden match,break,match,interaction
44,smash a wooden match,break,match,interaction
45,shatter a wooden match,break,match,interaction
46,break a small matchbox,break,matchbox,interaction
47,smash a small matchbox,break,matchbox,interaction
48,shatter a small matchbox,break,matchbox,interaction
49,break a sewing needle,break,needle,interaction
50,smash a sewing needle,break,needle,interaction
51,shatter a sewing needle,break,needle,interaction
52,break a small nightstand (drawer open),break,nightstand-open,interaction
53,smash a small nightstand (drawer open),break,nightstand-open,interaction
54,shatter a small nightstand (drawer open),break,nightstand-open,interaction
55,break a small nightstand,break,nightstand,interaction
56,smash a small nightstand,break,nightstand,interaction
57,shatter a small nightstand,break,nightstand,interaction
